,web-scraper-order,web-scraper-start-url,userID,userID-href,name,uploads,subscribers,videoviews,country,channeltype,usercreated,grade,YouTube_Link,YouTube_Link-href,TwitterHandle,TwitterHandle-href,InstagramHandle,InstagramHandle-href,MonthlyEarnings,YearlyEarnings
586,1553039955-4388,https://socialblade.com/youtube/top/5000/mostsubscribed,FunFun Toy Doll TV,https://socialblade.com/youtube/channel/UCqvS0UZpSh8ydVQ7TxGNOJw,FunFun Toy Doll TV,577,6525355,2663588076,US,Entertainment,"May 31st, 2016",A,,https://youtube.com/channel/UCqvS0UZpSh8ydVQ7TxGNOJw,,,,https://youtube.com/channel/UCqvS0UZpSh8ydVQ7TxGNOJw,€23.9K - €381.7K,€286.3K - €4.6M
587,1553039951-4387,https://socialblade.com/youtube/top/5000/mostsubscribed,Isaac do VINE,https://socialblade.com/youtube/c/isaacdovine,Isaac do VINE,350,6518185,608736953,BR,People,"Oct 24th, 2014",B+,,https://youtube.com/channel/UCxyk5VZ-BY-5rvIx1_Zx9wA,,https://instagram.com/isaacdovine,,https://plus.google.com/117044933756574991166,€5.1K - €81.6K,€61.2K - €979.6K
588,1553039939-4384,https://socialblade.com/youtube/top/5000/mostsubscribed,Rebecca Zamolo,https://socialblade.com/youtube/user/rebeccazamolo1,Rebecca Zamolo,545,6505743,1139381599,US,Entertainment,"Nov 20th, 2011",A,,https://youtube.com/channel/UCfw8x3VR-ElcaWW2Tg_jgSA,,https://instagram.com/rebeccazamolo,,https://plus.google.com/117176700033504529480,€19.4K - €310.1K,€232.6K - €3.7M
589,1553039931-4382,https://socialblade.com/youtube/top/5000/mostsubscribed,Online Job,https://socialblade.com/youtube/channel/UCL3IoeeHKzWMxZxhmnmETjw,Online Job,1036,6498529,224155022,IN,,"Oct 6th, 2014",B+,,https://youtube.com/channel/UCL3IoeeHKzWMxZxhmnmETjw,,,,https://youtube.com/channel/UCL3IoeeHKzWMxZxhmnmETjw,€16K - €255.4K,€191.6K - €3.1M
590,1553039943-4385,https://socialblade.com/youtube/top/5000/mostsubscribed,Daniel Howell,https://socialblade.com/youtube/c/danisnotonfire,Daniel Howell,129,6493487,632772129,GB,People,"Oct 12th, 2006",B-,,https://youtube.com/channel/UCGjylN-4QCpn8XJ1uY-UOgA,,https://instagram.com/danielhowell,,https://plus.google.com/107070254544933439620,€254 - €4.1K,€3.1K - €48.9K
591,1553039935-4383,https://socialblade.com/youtube/top/5000/mostsubscribed,Gabbie Hanna,https://socialblade.com/youtube/c/gabbieshow,Gabbie Hanna,305,6490849,930370930,US,Howto,"Feb 12th, 2014",B+,,https://youtube.com/channel/UCfBpv6ahDMg7kEClQuMpzzw,,https://instagram.com/thegabbieshow,,https://plus.google.com/101781478735691873057,€3.3K - €52.8K,€39.6K - €633.8K
592,1553039927-4381,https://socialblade.com/youtube/top/5000/mostsubscribed,TobyGames,https://socialblade.com/youtube/c/tobygzme,TobyGames,5149,6485764,2038937791,US,Games,"Jul 31st, 2010",B-,,https://youtube.com/channel/UCLCmJiSbIoa_ZFiBOBDf6ZA,,https://twitter.com/tobyturner,,https://plus.google.com/102863741024548424417,€169 - €2.7K,€2K - €32.5K
593,1553039923-4380,https://socialblade.com/youtube/top/5000/mostsubscribed,Britney Spears,https://socialblade.com/youtube/c/britney,Britney Spears,68,6484960,60290202,US,Music,"Oct 30th, 2005",B-,,https://youtube.com/channel/UCgffc95YDBlkGrBAJUHUmXQ,,https://twitter.com/britneyspears,,https://instagram.com/britneyspears,€33 - €526,€395 - €6.3K
594,1553039911-4377,https://socialblade.com/youtube/top/5000/mostsubscribed,infobells - Telugu,https://socialblade.com/youtube/c/infobells-telugu,infobells - Telugu,218,6456428,3182736946,IN,Education,"Mar 13th, 2014",A,,https://youtube.com/channel/UCHvoq_rGmOKJKGId1nD1V4Q,,https://www.facebook.com/infobells,,https://plus.google.com/112280035435241121777,€32.5K - €520K,€390K - €6.2M
595,1553039919-4379,https://socialblade.com/youtube/top/5000/mostsubscribed,Canal BOOM,https://socialblade.com/youtube/user/boomoficial,Canal BOOM,177,6450787,632000070,US,Comedy,"Jan 23rd, 2013",B,,https://youtube.com/channel/UCLGizjfIIykAWdvIKlvZiDA,,https://twitter.com/tfonsecaoficial,,https://instagram.com/tiagofonsecaoficial,€0 - €0,€0 - €0
596,1553039915-4378,https://socialblade.com/youtube/top/5000/mostsubscribed,speedyw03,https://socialblade.com/youtube/user/speedyw03,speedyw03,1871,6447928,1562392824,US,Games,"Jun 11th, 2006",B,,https://youtube.com/channel/UCEe076nFuVobN0bAsXK7ICw,,https://twitter.com/kyr_sp33dy,,https://plus.google.com/104076425572467843749,€396 - €6.3K,€4.8K - €76.1K
597,1553039903-4375,https://socialblade.com/youtube/top/5000/mostsubscribed,POPS MUSIC,https://socialblade.com/youtube/c/popsvnpage,POPS MUSIC,25385,6440194,6216843970,VN,Music,"Mar 25th, 2013",A,,https://youtube.com/channel/UCUgXK2UjZ8G_EM438aYkGrw,,https://www.instagram.com/popsvietnam,,https://plus.google.com/117516849358429291714,€0 - €0,€0 - €0
598,1553039887-4371,https://socialblade.com/youtube/top/5000/mostsubscribed,Round2hell,https://socialblade.com/youtube/c/round2hell,Round2hell,51,6439139,497110528,IN,Comedy,"Oct 20th, 2016",B+,,https://youtube.com/channel/UCt4atlExw8aj3Bm79nv1fig,,https://twitter.com/round2hell,,https://www.instagram.com/round2hell/?hl=en,€7.3K - €116.7K,€87.5K - €1.4M
599,1553039907-4376,https://socialblade.com/youtube/top/5000/mostsubscribed,What's Inside?,https://socialblade.com/youtube/c/whatsinside,What's Inside?,253,6437711,1014016082,US,Sports,"May 15th, 2008",B+,,https://youtube.com/channel/UCSrPuHtKbst7Zy8pyWn_3Cg,,https://instagram.com/whatsinside/,,https://plus.google.com/100996773455818009189,€3.4K - €54.8K,€41.1K - €657.6K
600,1553039899-4374,https://socialblade.com/youtube/top/5000/mostsubscribed,Flavia Calina,https://socialblade.com/youtube/c/flaviacalina,Flavia Calina,1469,6435577,2070502463,BR,People,"May 10th, 2007",B+,,https://youtube.com/channel/UCrqpB7Kvh4qao8VtxwuJKkQ,,https://www.instagram.com/flavia_calina_,,https://plus.google.com/104854505635905219944,€6.8K - €108K,€81K - €1.3M
601,1553039884-4370,https://socialblade.com/youtube/top/5000/mostsubscribed,Clash Royale,https://socialblade.com/youtube/c/clashroyale,Clash Royale,367,6415509,723261799,,Games,"Nov 16th, 2015",D-,,https://youtube.com/channel/UC_F8DoJf9MZogEOU51TpTbQ,,https://twitter.com/clashroyale,,https://www.instagram.com/clashroyale/,€1.4K - €22.5K,€16.9K - €269.7K
602,1553039879-4369,https://socialblade.com/youtube/top/5000/mostsubscribed,Sasha Spilberg,https://socialblade.com/youtube/c/sashaspilberg,Sasha Spilberg,319,6410423,992851846,RU,Music,"May 19th, 2010",B,,https://youtube.com/channel/UCJatXmy5PyaZ6gFs-NEAFWQ,,https://twitter.com/sashaspilberg,,https://instagram.com/sashaspilberg,€1.3K - €20.7K,€15.5K - €248.8K
603,1553039871-4367,https://socialblade.com/youtube/top/5000/mostsubscribed,Dobre Brothers,https://socialblade.com/youtube/c/dobrebrothers,Dobre Brothers,179,6406142,1017998485,,People,"Jun 6th, 2017",A-,,https://youtube.com/channel/UCC3OGYxHwV8pB5yLobw9KdA,,https://youtube.com/channel/UCC3OGYxHwV8pB5yLobw9KdA,,https://www.instagram.com/marcusdobre/,€16K - €255.3K,€191.5K - €3.1M
